1900, 170.0, 16.9, 28.0, 30.9, 18.0, 5.4, 20.8, Na, Na
1910, 171.0, 12.8, 26.0, 32.3, 20.4, 6.8, 21.7, Na, Na
1920, 171.4, 12.3, 24.4, 32.6, 21.3, 7.7, 21.7, Na, Na
1930, 172.8, 8.4, 20.0, 32.2, 25.8, 10.6, 23.0, Na, Na
1931, 172.6, 8.7, 20.3, 31.8, 25.1, 11.0, 23.1, Na, Na
1932, 172.7, 8.2, 19.8, 32.7, 25.2, 10.9, 23.2, Na, Na
1933, 172.7, 8.4, 19.8, 31.5, 25.8, 11.2, 23.3, Na, Na
1934, 173.3, 7.3, 18.8, 31.2, 27.2, 11.9, 23.6, Na, Na
1935, 173.4, 7.0, 18.6, 31.4, 26.9, 12.4, 23.7, Na, Na
1936, 173.7, 6.6, 17.6, 30.3, 28.0, 12.9, 24.6, Na, Na
1937, 173.8, 6.5, 17.3, 30.8, 27.4, 13.2, 24.8, Na, Na
1951, 176.0, 3.2, 11.2, 26.1, 30.5, 20.5, 28.5, Na, Na
1952, 176.2, 3.0, 10.5, 25.4, 30.4, 21.5, 7.4, 1.6, 0.2
1953, 176.5, 2.5, 9.3, 23.5, 34.7, 20.8, 29.2, Na, Na
1954, 176.5, 3.0, 9.1, 24.8, 30.7, 22.8, 29.6, Na, Na
1955, 176.7, 2.7, 9.6, 23.6, 31.5, 22.1, 210.5, Na, Na
1956, 176.9, 2.4, 8.4, 23.6, 31.0, 23.4, 211.2, Na, Na
1957, 176.9, 2.5, 8.7, 22.9, 30.8, 23.7, 211.4, Na, Na
1958, 177.1, 2.1, 8.3, 22.7, 31.3, 24.4, 211.2, Na, Na
1959, 177.3, 2.1, 7.8, 22.2, 30.9, 24.9, 212.1, Na, Na
1960, 177.1, 2.4, 8.3, 22.8, 31.1, 23.4, 9.6, 2.1, 0.3
1961, 177.2, 2.1, 8.0, 22.8, 30.9, 24.2, 212.0, Na, Na
1962, 177.7, 1.8, 6.9, 21.2, 30.9, 25.9, 213.3, Na, Na
1963, 177.8, 1.6, 6.9, 20.6, 31.0, 25.9, 214.0, Na, Na
1964, 178.1, 1.7, 6.5, 20.2, 29.6, 26.8, 215.2, Na, Na
1965, 178.0, 1.7, 6.6, 20.1, 30.6, 26.0, 11.6, 3.0, 0.4
1966, 178.3, 1.5, 6.2, 19.7, 29.1, 27.6, 12.2, 3.2, 0.5
1967, 178.4, 1.4, 6.1, 18.8, 30.0, 27.2, 12.7, 3.3, 0.5
1968, 178.3, 1.4, 6.1, 19.4, 29.7, 27.3, 12.2, 3.4, 0.5
1969, 178.5, 1.6, 5.8, 18.3, 29.7, 28.0, 12.7, 3.3, 0.6
1970, 178.7, 1.4, 5.6, 17.2, 28.9, 29.2, 13.5, 3.7, 0.5
1971, 178.7, 1.3, 5.8, 18.1, 29.3, 27.8, 13.4, 3.6, 0.7
1972, 178.7, 1.3, 5.5, 18.0, 29.3, 28.2, 13.2, 3.8, 0.7
1973, 179.0, 1.2, 5.3, 17.1, 28.3, 29.2, 14.1, 4.1, 0.7
1974, 178.9, 1.2, 5.6, 17.3, 28.6, 29.0, 13.4, 4.2, 0.7
1975, 179.1, 1.1, 5.0, 16.7, 28.5, 29.5, 14.1, 4.4, 0.7
1976, 179.2, 1.1, 5.1, 16.9, 28.0, 28.6, 15.1, 4.4, 0.8
1977, 179.4, 1.0, 4.8, 16.3, 27.2, 29.9, 15.3, 4.7, 0.8
1978, 179.4, 1.1, 4.8, 16.0, 27.0, 30.2, 15.0, 5.1, 0.8
1979, 179.4, 1.0, 4.6, 15.7, 28.4, 29.5, 15.1, 4.8, 0.9
1980, 179.4, 1.0, 4.8, 15.6, 27.6, 29.9, 15.0, 5.2, 0.8
1981, 179.5, 1.1, 4.5, 16.1, 27.3, 29.2, 15.7, 5.1, 1.0
1982, 179.4, 1.1, 4.8, 15.9, 27.8, 28.7, 15.7, 5.0, 1.0
1983, 179.4, 1.3, 5.1, 15.9, 27.3, 28.8, 15.3, 5.3, 1.0
1984, 179.4, 1.2, 4.9, 16.1, 27.6, 28.9, 15.1, 5.0, 1.1
1985, 179.3, 1.3, 4.8, 16.1, 28.0, 28.7, 15.0, 5.1, 0.9
1986, 179.4, 1.2, 4.8, 15.9, 27.6, 29.2, 15.1, 5.2, 1.0
1987, 179.7, 1.1, 4.4, 15.4, 27.0, 29.2, 16.2, 5.4, 1.2
1988, 179.9, 1.0, 4.5, 14.9, 26.7, 29.4, 16.1, 6.1, 1.3
1989, 179.8, 1.2, 4.2, 15.5, 26.5, 29.3, 16.3, 5.7, 1.1
1990, 179.7, 1.1, 4.7, 15.1, 27.1, 28.9, 16.2, 5.7, 1.3
1991, 179.9, 1.2, 4.2, 14.8, 26.2, 29.8, 16.5, 6.1, 1.2
1992, 179.7, 1.3, 4.7, 15.2, 27.1, 28.5, 16.1, 5.8, 1.2
1993, 179.5, 1.3, 5.0, 15.5, 27.0, 28.5, 15.9, 5.6, 1.2
1994, 179.8, 1.3, 4.3, 14.9, 27.0, 29.2, 16.0, 6.0, 1.4
1995, 179.4, 1.6, 5.2, 15.8, 27.2, 28.3, 15.0, 5.6, 1.2
1996, 179.6, 1.5, 4.8, 15.6, 26.3, 28.7, 16.0, 6.0, 1.2
1997, 179.9, 1.2, 4.7, 14.8, 26.1, 28.7, 16.8, 6.2, 1.4
1998, 179.4, 1.4, 5.4, 15.7, 26.8, 28.1, 15.5, 5.6, 1.2
1999, 179.6, 1.6, 4.9, 15.2, 26.9, 28.0, 16.6, 5.5, 1.3
2000, 179.9, 1.4, 4.5, 14.5, 25.9, 29.2, 16.9, 6.1, 1.5
2001, 179.6, 1.3, 4.7, 15.6, 26.7, 28.7, 16.2, 5.5, 1.2
2002, 179.7, 1.4, 4.6, 15.3, 26.4, 29.2, 16.0, 5.5, 1.3
2003, 179.9, 1.3, 4.9, 14.4, 26.2, 28.5, 17.1, 6.1, 1.4
2004, 179.8, 1.2, 4.9, 14.8, 26.5, 28.4, 17.0, 5.8, 1.5
2005, 179.8, 1.2, 4.8, 15.0, 26.9, 27.9, 17.0, 5.8, 1.4
2006, 179.9, 1.2, 4.7, 15.0, 26.6, 28.2, 16.8, 6.1, 1.4
2007, 179.9, 1.2, 4.6, 15.0, 26.2, 28.2, 17.0, 6.2, 1.5


